id,binding,binding_strength,kd,kon,koff,neutralization,binding_confidence,iptm,min_interaction_pae,structure_confidence
shy-fox-fern,False,,,,,,0.5603160858154297,0.9475478529930116,1.1677837371826172,0.7969722747802734
silver-ibis-pearl,False,,,,,,0.1341102719306945,0.9331396222114564,1.6728514432907104,0.8144177794456482
deep-fox-quartz,False,,,,,,0.6440629363059998,0.914304494857788,1.8504289388656616,0.773910641670227
deep-toad-ash,False,,,,,,0.0008534837397746,0.863182783126831,2.813178062438965,0.5654237270355225
solid-orca-pearl,False,,,,,,0.4833421111106872,0.853776752948761,3.044226884841919,0.6278102993965149
rough-bear-granite,False,,,,,,0.4785559177398681,0.8795861601829529,2.7945523262023926,0.6462631225585938
mellow-bee-lotus,False,,,,,,0.1400005519390106,0.9296835064888,1.5832133293151855,0.7998639941215515
radiant-mole-wave,False,,,,,,0.062677189707756,0.8681899905204773,3.197960138320923,0.4237542152404785
bright-tiger-crystal,False,,,,,,0.0544207133352756,0.8207873702049255,4.101612567901611,0.4841756820678711
golden-dove-fern,False,,,,,,0.3413595557212829,0.8321256637573242,3.43154239654541,0.4958534240722656
wild-gecko-vine,False,,,,,,0.3209047019481659,0.9086697101593018,2.048512458801269,0.76860111951828
brisk-seal-snow,False,,,,,,0.6113239526748657,0.950900673866272,1.31260347366333,0.8046300411224365
solid-bear-ruby,False,,,,,,0.6410571932792664,0.9242425560951232,1.738170146942139,0.7688462734222412
deep-cobra-clay,False,,,,,,0.0054952804930508,0.9041882157325744,2.5705490112304688,0.7411606907844543
quick-ibis-frost,False,,,,,,0.0076084779575467,0.8346611261367798,4.287952423095703,0.6289550065994263
calm-ox-moss,False,,,,,,0.0834167897701263,0.731893002986908,5.72578239440918,0.4476376175880432
small-orca-plume,True,Medium,7.38051229949404e-08,7249.24015005967,0.0005264664832499,,0.0334258340299129,0.8239706754684448,3.920549154281616,0.5941481590270996
green-lion-fern,False,,,,,,0.010497317649424,0.9272129535675048,1.8843848705291748,0.7549606561660767
amber-eagle-ember,False,,,,,,0.0058027897030115,0.7002036571502686,7.612030029296875,0.3388036787509918
misty-panda-cloud,False,,,,,,0.2915455400943756,0.9320524334907532,1.7897499799728394,0.716644287109375
swift-bear-cloud,False,,,,,,0.2588846981525421,0.9094970226287842,2.060506582260132,0.6586171984672546
pale-toad-topaz,False,,,,,,9.49791501625441e-05,0.2969132959842682,17.760271072387695,0.0153855616226792
amber-ox-plume,False,,,,,,0.2560161054134369,0.925744354724884,1.905768156051636,0.6509266495704651
frozen-raven-topaz,False,,,,,,0.0367130897939205,0.941059112548828,1.3062201738357544,0.6713168621063232
gentle-quail-pine,False,,,,,,0.397354781627655,0.8661304712295532,3.730703830718994,0.654378354549408
crimson-swan-rose,False,,,,,,0.0006630076677538,0.6820141673088074,6.703829765319824,0.2618044316768646
small-gecko-stone,False,,,,,,0.6865670084953308,0.9026859998703004,2.2026116847991943,0.6956033706665039
quick-ram-quartz,False,,,,,,0.0499343946576118,0.9428210258483888,1.411193609237671,0.8186066746711731
scarlet-cat-ice,False,,,,,,4.592558252625168e-05,0.6632983088493347,8.52421760559082,0.2893037497997284
rapid-cobra-moss,False,,,,,,0.2397675961256027,0.9058239459991456,2.262756109237671,0.7586612701416016
crimson-wolf-ruby,False,,,,,,0.1691849827766418,0.9061142802238464,2.229356527328491,0.7276429533958435
young-heron-ice,False,,,,,,2.747152029769495e-05,0.7541537880897522,6.643276691436768,0.4787448942661285
frozen-gecko-rose,False,,,,,,0.0098571190610528,0.9187384843826294,1.7681857347488403,0.7650261521339417
noble-crow-fern,False,,,,,,0.2559465169906616,0.2992409467697143,16.32583999633789,0.0382888168096542
violet-panther-iron,False,,,,,,0.0002469345054123,0.9003135561943054,1.980576753616333,0.7433146834373474
gentle-quail-maple,False,,,,,,0.0351942367851734,0.8593657612800598,3.1827216148376465,0.6562001705169678
rapid-bear-reed,False,,,,,,0.4188275933265686,0.9425575137138368,1.334195613861084,0.8134095668792725
vast-moth-rose,False,,,,,,0.0175147242844104,0.936426043510437,1.6878931522369385,0.8069795966148376
rough-deer-rose,False,,,,,,0.609602689743042,0.926231324672699,1.179274082183838,0.8116565942764282
swift-ibis-cypress,False,,,,,,0.6442691087722778,0.9237525463104248,1.6764605045318604,0.7762802839279175
quiet-panda-willow,False,,,,,,0.6147438287734985,0.9261178970336914,1.4334936141967771,0.7915189266204834
steady-yak-dust,False,,,,,,0.0003290924360044,0.3472334742546081,15.81022834777832,0.012868701480329
young-ram-rose,True,Medium,8.62649452605243e-08,10786.1610751571,0.0007557545709347,,0.4268050491809845,0.7034844756126404,5.063254356384277,0.1148157566785812
swift-ibis-pearl,False,,,,,,0.2253684103488922,0.8590718507766724,2.7849574089050293,0.2589534223079681
mellow-zebra-orchid,False,,,,,,0.1247751489281654,0.371243268251419,16.542186737060547,0.0460273697972297
strong-goat-ivy,False,,,,,,0.0267343707382679,0.8734927177429199,3.3282251358032227,0.4681342542171478
soft-dove-cedar,False,,,,,,0.3685220777988434,0.9155730605125428,2.0564699172973637,0.3785749673843384
noble-cat-pearl,True,Medium,2.36062367891398e-07,5953.994158754,0.0015555006037052,,0.5917600989341736,0.8977936506271362,2.1903247833251958,0.7079927325248718
crimson-deer-cypress,False,,,,,,0.0068963919766247,0.8692258596420288,2.5190467834472656,0.5844146013259888
amber-tiger-dust,True,Medium,1.15888039377575e-07,7500.5313981101,0.0006547565898372,,9.018702985486016e-05,0.3985275030136108,14.298650741577148,0.0350690819323062
radiant-bee-iron,False,,,,,,0.4877022802829742,0.913152039051056,1.9228408336639404,0.7124372720718384
bright-wolf-ember,False,,,,,,0.4276426434516907,0.9302454590797424,1.609349012374878,0.8034198880195618
brisk-goat-bronze,False,,,,,,0.0004597292572725,0.6370069980621338,9.950150489807127,0.0288577526807785
mellow-goat-snow,False,,,,,,0.0356773436069488,0.2769360244274139,16.762521743774414,1.6821809367684184e-07
violet-orca-pine,False,,,,,,0.0010393921984359,0.9413256645202636,1.3910722732543943,0.7920873165130615
violet-cat-ruby,False,,,,,,0.6641795635223389,0.9562922716140748,1.029672384262085,0.8277111053466797
rough-owl-iron,False,,,,,,0.4930476546287536,0.927730143070221,1.6238644123077393,0.8055358529090881
noble-zebra-crystal,False,,,,,,0.0001429282710887,0.5219987034797668,12.452545166015623,0.0211339257657527
